keypoint_type,descriptor_type,num_matches_final
AKAZE,AKAZE,55.0
AKAZE,BRIEF,54.0
AKAZE,BRISK,55.0
AKAZE,FREAK,55.0
AKAZE,ORB,54.0
AKAZE,SIFT,55.0
BRISK,BRIEF,78.0
BRISK,BRISK,86.0
BRISK,FREAK,82.0
BRISK,ORB,78.0
BRISK,SIFT,86.0
FAST,BRIEF,131.0
FAST,BRISK,131.0
FAST,FREAK,131.0
FAST,ORB,131.0
FAST,SIFT,131.0
HARRIS,BRIEF,5.0
HARRIS,BRISK,5.0
HARRIS,FREAK,5.0
HARRIS,ORB,5.0
HARRIS,SIFT,5.0
ORB,BRIEF,26.0
ORB,BRISK,29.0
ORB,FREAK,17.0
ORB,ORB,26.0
ORB,SIFT,28.0
SHITOMASI,BRIEF,46.0
SHITOMASI,BRISK,46.0
SHITOMASI,FREAK,46.0
SHITOMASI,ORB,46.0
SHITOMASI,SIFT,46.0
SIFT,BRIEF,28.0
SIFT,BRISK,28.0
SIFT,FREAK,28.0
SIFT,ORB,28.0
SIFT,SIFT,49.0
