keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
AKAZE,AKAZE,MAT_BF,SEL_KNN,49,0,0,36.3954,25.7531,0
AKAZE,AKAZE,MAT_BF,SEL_KNN,45,45,45,31.6993,25.686,0.099329
AKAZE,AKAZE,MAT_BF,SEL_KNN,51,51,51,33.0129,33.6212,0.069487
AKAZE,AKAZE,MAT_BF,SEL_KNN,52,52,52,39.1752,29.2455,0.085462
AKAZE,AKAZE,MAT_BF,SEL_KNN,57,57,57,36.7973,30.5078,0.101524
AKAZE,AKAZE,MAT_BF,SEL_KNN,59,59,59,36.356,28.6769,0.099264
AKAZE,AKAZE,MAT_BF,SEL_KNN,62,62,62,36.7059,27.477,0.098439
AKAZE,AKAZE,MAT_BF,SEL_KNN,57,57,57,31.8992,26.8955,0.091731
AKAZE,AKAZE,MAT_BF,SEL_KNN,59,59,59,34.2539,27.1584,0.096905
AKAZE,AKAZE,MAT_BF,SEL_KNN,53,53,53,32.5455,26.4574,0.09824
