keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
AKAZE,BRIEF,MAT_BF,SEL_KNN,49,0,0,43.0447,0.298066,0
AKAZE,BRIEF,MAT_BF,SEL_KNN,45,45,45,35.9761,0.242716,0.108776
AKAZE,BRIEF,MAT_BF,SEL_KNN,51,51,51,34.3986,0.32261,0.084449
AKAZE,BRIEF,MAT_BF,SEL_KNN,52,52,52,33.2531,0.313052,0.088736
AKAZE,BRIEF,MAT_BF,SEL_KNN,57,57,55,35.6292,0.270725,0.064157
AKAZE,BRIEF,MAT_BF,SEL_KNN,59,59,57,33.6055,0.277017,0.076291
AKAZE,BRIEF,MAT_BF,SEL_KNN,62,62,62,33.0382,0.280055,0.075887
AKAZE,BRIEF,MAT_BF,SEL_KNN,57,57,55,31.1229,0.270038,0.073797
AKAZE,BRIEF,MAT_BF,SEL_KNN,59,59,59,34.4176,0.276514,0.06571
AKAZE,BRIEF,MAT_BF,SEL_KNN,53,53,53,35.1737,0.354862,0.102268
