keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
AKAZE,BRISK,MAT_BF,SEL_KNN,49,0,0,36.1995,0.53161,0
AKAZE,BRISK,MAT_BF,SEL_KNN,45,45,45,37.1976,0.926782,0.122472
AKAZE,BRISK,MAT_BF,SEL_KNN,51,51,51,35.9577,0.608903,0.094113
AKAZE,BRISK,MAT_BF,SEL_KNN,52,52,52,39.3044,0.535252,0.09918
AKAZE,BRISK,MAT_BF,SEL_KNN,57,57,57,36.7543,0.534765,0.157939
AKAZE,BRISK,MAT_BF,SEL_KNN,59,59,59,32.7446,0.594305,0.087244
AKAZE,BRISK,MAT_BF,SEL_KNN,62,62,62,35.2457,0.593348,0.097632
AKAZE,BRISK,MAT_BF,SEL_KNN,57,57,57,32.5315,0.538477,0.097724
AKAZE,BRISK,MAT_BF,SEL_KNN,59,59,59,40.6819,0.72374,0.10576
AKAZE,BRISK,MAT_BF,SEL_KNN,53,53,53,33.6368,0.557276,0.09675
