keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
AKAZE,FREAK,MAT_BF,SEL_KNN,49,0,0,39.9636,25.1116,0
AKAZE,FREAK,MAT_BF,SEL_KNN,45,45,45,33.0348,23.7007,0.126044
AKAZE,FREAK,MAT_BF,SEL_KNN,51,51,51,30.5365,23.8837,0.098896
AKAZE,FREAK,MAT_BF,SEL_KNN,52,52,52,29.7603,25.0137,0.071829
AKAZE,FREAK,MAT_BF,SEL_KNN,57,57,57,30.4821,23.8518,0.080757
AKAZE,FREAK,MAT_BF,SEL_KNN,59,59,59,28.9672,25.1205,0.099072
AKAZE,FREAK,MAT_BF,SEL_KNN,62,62,62,34.2815,23.9068,1.0083
AKAZE,FREAK,MAT_BF,SEL_KNN,57,57,57,31.0256,25.2203,0.078754
AKAZE,FREAK,MAT_BF,SEL_KNN,59,59,59,30.0091,23.8899,0.102082
AKAZE,FREAK,MAT_BF,SEL_KNN,53,53,53,29.5107,25.2092,0.100524
