keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
AKAZE,ORB,MAT_BF,SEL_KNN,49,0,0,36.5568,0.289319,0
AKAZE,ORB,MAT_BF,SEL_KNN,45,45,45,33.3742,0.248158,0.099277
AKAZE,ORB,MAT_BF,SEL_KNN,51,51,51,34.0891,0.258724,0.072503
AKAZE,ORB,MAT_BF,SEL_KNN,52,52,52,33.7509,0.277117,0.083607
AKAZE,ORB,MAT_BF,SEL_KNN,57,57,55,34.8675,0.266796,0.094537
AKAZE,ORB,MAT_BF,SEL_KNN,59,59,57,37.4322,0.277821,0.060458
AKAZE,ORB,MAT_BF,SEL_KNN,62,62,62,34.4074,0.283092,0.074316
AKAZE,ORB,MAT_BF,SEL_KNN,57,57,55,31.0926,0.273656,0.057305
AKAZE,ORB,MAT_BF,SEL_KNN,59,59,59,36.4696,0.279632,0.0777
AKAZE,ORB,MAT_BF,SEL_KNN,53,53,53,34.9088,0.291611,0.055196
