keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
AKAZE,SIFT,MAT_BF,SEL_KNN,49,0,0,38.8757,9.90797,0
AKAZE,SIFT,MAT_BF,SEL_KNN,45,45,45,34.0916,9.52755,0.078455
AKAZE,SIFT,MAT_BF,SEL_KNN,51,51,51,33.4578,8.404,0.052641
AKAZE,SIFT,MAT_BF,SEL_KNN,52,52,52,29.1414,8.69003,0.056074
AKAZE,SIFT,MAT_BF,SEL_KNN,57,57,57,30.7494,8.61371,0.052465
AKAZE,SIFT,MAT_BF,SEL_KNN,59,59,59,35.3749,9.41414,0.076625
AKAZE,SIFT,MAT_BF,SEL_KNN,62,62,62,35.1511,8.37849,0.057775
AKAZE,SIFT,MAT_BF,SEL_KNN,57,57,57,29.8274,9.73662,0.093318
AKAZE,SIFT,MAT_BF,SEL_KNN,59,59,59,30.5318,8.35797,0.051067
AKAZE,SIFT,MAT_BF,SEL_KNN,53,53,53,32.6688,9.90469,0.091368
