keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
BRISK,BRIEF,MAT_BF,SEL_KNN,68,0,0,196.521,0.679782,0
BRISK,BRIEF,MAT_BF,SEL_KNN,79,79,69,197.829,0.293047,0.1246
BRISK,BRIEF,MAT_BF,SEL_KNN,79,79,73,194.249,0.342602,0.076477
BRISK,BRIEF,MAT_BF,SEL_KNN,81,81,63,193.78,0.246243,0.124751
BRISK,BRIEF,MAT_BF,SEL_KNN,94,94,88,194.367,0.312182,0.103905
BRISK,BRIEF,MAT_BF,SEL_KNN,92,92,84,192.607,0.264798,0.119869
BRISK,BRIEF,MAT_BF,SEL_KNN,94,94,79,192.761,0.290437,0.144749
BRISK,BRIEF,MAT_BF,SEL_KNN,92,92,88,192.079,0.263723,0.156758
BRISK,BRIEF,MAT_BF,SEL_KNN,82,82,76,191.188,0.241778,0.108665
BRISK,BRIEF,MAT_BF,SEL_KNN,85,85,83,192.056,0.253461,0.118105
