keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
BRISK,BRISK,MAT_BF,SEL_KNN,68,0,0,198.494,1.07133,0
BRISK,BRISK,MAT_BF,SEL_KNN,79,79,77,192.424,0.709641,0.174965
BRISK,BRISK,MAT_BF,SEL_KNN,79,79,79,193.161,0.718184,0.14465
BRISK,BRISK,MAT_BF,SEL_KNN,81,81,79,192.693,0.720273,0.164026
BRISK,BRISK,MAT_BF,SEL_KNN,94,94,94,194.083,0.909046,0.139854
BRISK,BRISK,MAT_BF,SEL_KNN,92,92,92,195.564,0.806969,0.145394
BRISK,BRISK,MAT_BF,SEL_KNN,94,94,94,194.211,0.806402,0.117576
BRISK,BRISK,MAT_BF,SEL_KNN,92,92,92,192.799,0.795005,0.116115
BRISK,BRISK,MAT_BF,SEL_KNN,82,82,82,194.106,0.83285,0.096667
BRISK,BRISK,MAT_BF,SEL_KNN,85,85,85,198.736,0.809617,0.107983
