keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
BRISK,FREAK,MAT_BF,SEL_KNN,68,0,0,208.229,27.0545,0
BRISK,FREAK,MAT_BF,SEL_KNN,79,77,75,201.149,25.832,0.181326
BRISK,FREAK,MAT_BF,SEL_KNN,79,77,77,201.159,24.7358,0.124398
BRISK,FREAK,MAT_BF,SEL_KNN,81,79,79,198.233,23.8896,1.01682
BRISK,FREAK,MAT_BF,SEL_KNN,94,88,88,192.889,23.7168,0.157985
BRISK,FREAK,MAT_BF,SEL_KNN,92,88,88,193.977,24.0975,0.154316
BRISK,FREAK,MAT_BF,SEL_KNN,94,90,90,193.801,23.752,0.139624
BRISK,FREAK,MAT_BF,SEL_KNN,92,88,88,192.26,23.8047,0.155404
BRISK,FREAK,MAT_BF,SEL_KNN,82,76,76,192.293,23.9334,0.11157
BRISK,FREAK,MAT_BF,SEL_KNN,85,80,80,192.311,23.9993,0.112833
