keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
BRISK,SIFT,MAT_BF,SEL_KNN,68,0,0,192.89,13.1318,0
BRISK,SIFT,MAT_BF,SEL_KNN,79,79,79,191.828,9.54765,0.111781
BRISK,SIFT,MAT_BF,SEL_KNN,79,79,79,192.224,10.8523,0.075615
BRISK,SIFT,MAT_BF,SEL_KNN,81,81,81,191.14,10.7771,0.081411
BRISK,SIFT,MAT_BF,SEL_KNN,94,94,94,191.391,11.3366,0.131801
BRISK,SIFT,MAT_BF,SEL_KNN,92,92,92,192.34,10.5796,0.085184
BRISK,SIFT,MAT_BF,SEL_KNN,94,94,94,192.975,10.5443,0.108847
BRISK,SIFT,MAT_BF,SEL_KNN,92,92,92,192.904,11.809,0.08708
BRISK,SIFT,MAT_BF,SEL_KNN,82,82,82,194.834,10.5697,0.073582
BRISK,SIFT,MAT_BF,SEL_KNN,85,85,85,190.624,11.4308,0.078976
