keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
FAST,BRIEF,MAT_BF,SEL_KNN,135,0,0,1.2723,0.954471,0
FAST,BRIEF,MAT_BF,SEL_KNN,123,123,123,1.2439,0.799093,0.33704
FAST,BRIEF,MAT_BF,SEL_KNN,115,115,115,1.13208,0.87743,0.123452
FAST,BRIEF,MAT_BF,SEL_KNN,142,142,142,1.12853,0.459617,0.548167
FAST,BRIEF,MAT_BF,SEL_KNN,127,127,127,1.1551,0.452138,0.129971
FAST,BRIEF,MAT_BF,SEL_KNN,133,133,133,1.15138,0.560375,0.132486
FAST,BRIEF,MAT_BF,SEL_KNN,146,146,146,1.1751,0.535085,0.163867
FAST,BRIEF,MAT_BF,SEL_KNN,129,129,129,1.14184,0.455436,0.135375
FAST,BRIEF,MAT_BF,SEL_KNN,133,133,133,1.1916,0.484553,0.151194
FAST,BRIEF,MAT_BF,SEL_KNN,134,134,134,1.16686,0.451836,1.19037
