keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
FAST,BRISK,MAT_BF,SEL_KNN,135,0,0,1.27089,1.59207,0
FAST,BRISK,MAT_BF,SEL_KNN,123,123,123,1.22236,1.3983,0.176599
FAST,BRISK,MAT_BF,SEL_KNN,115,115,115,1.1235,1.33611,0.123678
FAST,BRISK,MAT_BF,SEL_KNN,142,142,142,1.11974,1.24888,0.161172
FAST,BRISK,MAT_BF,SEL_KNN,127,127,127,1.12585,1.04005,0.141298
FAST,BRISK,MAT_BF,SEL_KNN,133,133,133,1.13184,1.07448,0.157765
FAST,BRISK,MAT_BF,SEL_KNN,146,146,146,1.13688,1.16797,0.209078
FAST,BRISK,MAT_BF,SEL_KNN,129,129,129,1.13637,1.04987,0.150118
FAST,BRISK,MAT_BF,SEL_KNN,133,133,133,1.15792,1.0904,0.149024
FAST,BRISK,MAT_BF,SEL_KNN,134,134,134,1.1661,1.20666,0.157182
