keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
FAST,FREAK,MAT_BF,SEL_KNN,135,0,0,1.2824,26.4346,0
FAST,FREAK,MAT_BF,SEL_KNN,123,123,123,1.25158,26.2402,0.188819
FAST,FREAK,MAT_BF,SEL_KNN,115,115,115,1.12951,25.9694,0.126933
FAST,FREAK,MAT_BF,SEL_KNN,142,142,142,1.12214,24.6811,0.160609
FAST,FREAK,MAT_BF,SEL_KNN,127,127,127,1.13035,24.6724,0.986498
FAST,FREAK,MAT_BF,SEL_KNN,133,133,133,1.13836,24.6546,0.996294
FAST,FREAK,MAT_BF,SEL_KNN,146,146,146,1.14462,24.7286,0.15105
FAST,FREAK,MAT_BF,SEL_KNN,129,129,129,1.13718,24.1861,0.150865
FAST,FREAK,MAT_BF,SEL_KNN,133,133,133,1.15549,24.228,0.150735
FAST,FREAK,MAT_BF,SEL_KNN,134,134,134,1.15964,24.1934,0.147368
