keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
FAST,ORB,MAT_BF,SEL_KNN,135,0,0,1.26197,0.950652,0
FAST,ORB,MAT_BF,SEL_KNN,123,123,123,1.23799,0.780405,0.264129
FAST,ORB,MAT_BF,SEL_KNN,115,115,115,1.13228,0.750742,0.143923
FAST,ORB,MAT_BF,SEL_KNN,142,142,142,1.13754,0.45917,0.151958
FAST,ORB,MAT_BF,SEL_KNN,127,127,127,1.12758,0.540327,0.981376
FAST,ORB,MAT_BF,SEL_KNN,133,133,133,1.13919,0.439252,1.83042
FAST,ORB,MAT_BF,SEL_KNN,146,146,146,1.14207,0.474806,1.02087
FAST,ORB,MAT_BF,SEL_KNN,129,129,129,1.15221,0.453575,0.971197
FAST,ORB,MAT_BF,SEL_KNN,133,133,133,1.16267,0.442386,1.04963
FAST,ORB,MAT_BF,SEL_KNN,134,134,134,1.1743,0.454085,0.15971
