keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
FAST,SIFT,MAT_BF,SEL_KNN,135,0,0,1.25391,12.206,0
FAST,SIFT,MAT_BF,SEL_KNN,123,123,123,1.21644,9.73208,0.151034
FAST,SIFT,MAT_BF,SEL_KNN,115,115,115,1.11073,8.45117,0.123227
FAST,SIFT,MAT_BF,SEL_KNN,142,142,142,1.11071,8.93619,0.319621
FAST,SIFT,MAT_BF,SEL_KNN,127,127,127,1.11634,9.48856,0.341037
FAST,SIFT,MAT_BF,SEL_KNN,133,133,133,1.12251,9.0393,0.758359
FAST,SIFT,MAT_BF,SEL_KNN,146,146,146,1.12797,9.85298,0.420235
FAST,SIFT,MAT_BF,SEL_KNN,129,129,129,1.13725,12.788,0.206848
FAST,SIFT,MAT_BF,SEL_KNN,133,133,133,1.16561,11.4653,0.305632
FAST,SIFT,MAT_BF,SEL_KNN,134,134,134,1.18012,9.35272,0.235885
