keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
HARRIS,BRIEF,MAT_BF,SEL_KNN,3,0,0,10.0104,0.529168,0
HARRIS,BRIEF,MAT_BF,SEL_KNN,2,2,2,8.79918,0.470916,0.072171
HARRIS,BRIEF,MAT_BF,SEL_KNN,6,6,6,8.01274,0.155418,0.05386
HARRIS,BRIEF,MAT_BF,SEL_KNN,2,2,2,7.60108,0.176572,0.036684
HARRIS,BRIEF,MAT_BF,SEL_KNN,5,5,5,8.94146,0.166986,0.029345
HARRIS,BRIEF,MAT_BF,SEL_KNN,9,9,9,6.7736,0.176511,0.07445
HARRIS,BRIEF,MAT_BF,SEL_KNN,2,2,2,6.53286,0.13882,0.029379
HARRIS,BRIEF,MAT_BF,SEL_KNN,4,4,4,8.45704,0.264833,0.035033
HARRIS,BRIEF,MAT_BF,SEL_KNN,5,5,5,7.46476,0.19924,1.84993
HARRIS,BRIEF,MAT_BF,SEL_KNN,8,8,8,9.65988,0.193079,3.46536
