keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
HARRIS,BRISK,MAT_BF,SEL_KNN,3,0,0,10.0887,0.592109,0
HARRIS,BRISK,MAT_BF,SEL_KNN,2,2,2,8.69454,0.529926,0.073773
HARRIS,BRISK,MAT_BF,SEL_KNN,6,6,6,8.276,0.205044,0.060564
HARRIS,BRISK,MAT_BF,SEL_KNN,2,2,2,7.49557,0.23222,0.873146
HARRIS,BRISK,MAT_BF,SEL_KNN,5,5,5,7.32355,0.326691,3.10142
HARRIS,BRISK,MAT_BF,SEL_KNN,9,9,9,10.1563,0.270921,0.610247
HARRIS,BRISK,MAT_BF,SEL_KNN,2,2,2,7.34509,0.214814,0.878075
HARRIS,BRISK,MAT_BF,SEL_KNN,4,4,4,7.15423,0.250699,1.70895
HARRIS,BRISK,MAT_BF,SEL_KNN,5,5,5,7.78846,0.229997,0.875522
HARRIS,BRISK,MAT_BF,SEL_KNN,8,8,8,7.06626,0.271875,0.871716
