keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
HARRIS,FREAK,MAT_BF,SEL_KNN,3,0,0,10.3243,25.9316,0
HARRIS,FREAK,MAT_BF,SEL_KNN,2,2,2,9.27589,23.9404,0.089887
HARRIS,FREAK,MAT_BF,SEL_KNN,6,6,6,6.92108,24.199,0.036455
HARRIS,FREAK,MAT_BF,SEL_KNN,2,2,2,7.50585,24.2629,0.036766
HARRIS,FREAK,MAT_BF,SEL_KNN,5,5,5,7.12104,24.3068,0.034471
HARRIS,FREAK,MAT_BF,SEL_KNN,9,9,9,7.3349,24.1518,0.03946
HARRIS,FREAK,MAT_BF,SEL_KNN,2,2,2,7.07515,24.1638,0.03384
HARRIS,FREAK,MAT_BF,SEL_KNN,4,4,4,7.28817,24.1177,0.87077
HARRIS,FREAK,MAT_BF,SEL_KNN,5,5,5,7.1464,24.4336,0.884853
HARRIS,FREAK,MAT_BF,SEL_KNN,8,8,8,7.09606,24.0887,0.039399
