keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
HARRIS,ORB,MAT_BF,SEL_KNN,3,0,0,10.2212,0.599964,0
HARRIS,ORB,MAT_BF,SEL_KNN,2,2,2,9.65322,0.554707,0.982795
HARRIS,ORB,MAT_BF,SEL_KNN,6,6,6,8.88623,0.212016,1.74918
HARRIS,ORB,MAT_BF,SEL_KNN,2,2,2,7.53387,0.226815,1.77947
HARRIS,ORB,MAT_BF,SEL_KNN,5,5,5,6.92046,0.192151,3.43738
HARRIS,ORB,MAT_BF,SEL_KNN,9,9,9,8.87192,0.174515,2.64155
HARRIS,ORB,MAT_BF,SEL_KNN,2,2,2,7.15424,0.317328,3.52034
HARRIS,ORB,MAT_BF,SEL_KNN,4,4,4,7.28582,0.143082,0.959553
HARRIS,ORB,MAT_BF,SEL_KNN,5,5,5,7.32201,0.275529,0.974288
HARRIS,ORB,MAT_BF,SEL_KNN,8,8,8,6.65364,0.160671,0.871448
