keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
HARRIS,SIFT,MAT_BF,SEL_KNN,3,0,0,10.2361,11.0149,0
HARRIS,SIFT,MAT_BF,SEL_KNN,2,2,2,8.35684,7.35762,0.102837
HARRIS,SIFT,MAT_BF,SEL_KNN,6,6,6,7.03631,8.30957,0.041653
HARRIS,SIFT,MAT_BF,SEL_KNN,2,2,2,8.24212,7.57294,0.038172
HARRIS,SIFT,MAT_BF,SEL_KNN,5,5,5,7.06895,7.92451,0.022415
HARRIS,SIFT,MAT_BF,SEL_KNN,9,9,9,7.53879,9.02525,0.023676
HARRIS,SIFT,MAT_BF,SEL_KNN,2,2,2,6.96411,10.4639,0.021391
HARRIS,SIFT,MAT_BF,SEL_KNN,4,4,4,7.11735,8.70297,0.020941
HARRIS,SIFT,MAT_BF,SEL_KNN,5,5,5,7.89204,8.27626,0.861555
HARRIS,SIFT,MAT_BF,SEL_KNN,8,8,6,7.14683,9.41445,0.023746
