keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
ORB,BRIEF,MAT_BF,SEL_KNN,25,0,0,102.72,0.559628,0
ORB,BRIEF,MAT_BF,SEL_KNN,27,27,23,4.10643,0.133551,0.068146
ORB,BRIEF,MAT_BF,SEL_KNN,30,30,24,3.81547,0.153897,0.033868
ORB,BRIEF,MAT_BF,SEL_KNN,34,34,31,3.91937,0.207193,0.042034
ORB,BRIEF,MAT_BF,SEL_KNN,28,28,20,3.90946,0.162393,0.032619
ORB,BRIEF,MAT_BF,SEL_KNN,37,37,27,4.30527,0.188846,0.038324
ORB,BRIEF,MAT_BF,SEL_KNN,30,30,28,4.33853,0.181465,0.037164
ORB,BRIEF,MAT_BF,SEL_KNN,27,27,25,3.96647,0.162271,0.059293
ORB,BRIEF,MAT_BF,SEL_KNN,34,34,28,4.06312,0.161018,0.069978
ORB,BRIEF,MAT_BF,SEL_KNN,31,31,31,4.04095,0.202201,0.133735
