keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
ORB,BRISK,MAT_BF,SEL_KNN,25,0,0,106.492,0.760986,0
ORB,BRISK,MAT_BF,SEL_KNN,27,25,25,4.14399,0.423916,0.100013
ORB,BRISK,MAT_BF,SEL_KNN,30,28,28,4.02844,0.386481,0.072031
ORB,BRISK,MAT_BF,SEL_KNN,34,32,32,3.91341,0.417647,0.098015
ORB,BRISK,MAT_BF,SEL_KNN,28,26,26,3.76686,0.372692,0.048133
ORB,BRISK,MAT_BF,SEL_KNN,37,35,35,4.08661,0.440929,0.085444
ORB,BRISK,MAT_BF,SEL_KNN,30,28,28,4.16433,0.395325,0.048451
ORB,BRISK,MAT_BF,SEL_KNN,27,25,25,3.86605,0.374941,0.046328
ORB,BRISK,MAT_BF,SEL_KNN,34,32,32,3.93981,0.413203,0.082253
ORB,BRISK,MAT_BF,SEL_KNN,31,29,29,4.27076,0.489813,0.072636
