keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
ORB,FREAK,MAT_BF,SEL_KNN,25,0,0,102.339,25.384,0
ORB,FREAK,MAT_BF,SEL_KNN,27,14,14,3.76382,24.0403,0.100878
ORB,FREAK,MAT_BF,SEL_KNN,30,16,16,4.15046,24.1732,0.07022
ORB,FREAK,MAT_BF,SEL_KNN,34,19,19,3.92587,23.8426,1.11821
ORB,FREAK,MAT_BF,SEL_KNN,28,14,14,3.82637,23.6738,0.038473
ORB,FREAK,MAT_BF,SEL_KNN,37,20,20,3.77575,23.9701,0.045531
ORB,FREAK,MAT_BF,SEL_KNN,30,16,16,5.24929,23.968,0.039416
ORB,FREAK,MAT_BF,SEL_KNN,27,16,16,3.8025,23.8173,0.039329
ORB,FREAK,MAT_BF,SEL_KNN,34,20,20,3.84274,23.9277,0.044396
ORB,FREAK,MAT_BF,SEL_KNN,31,17,17,3.85776,23.7052,0.040366
