keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
ORB,ORB,MAT_BF,SEL_KNN,25,0,0,102.102,0.573847,0
ORB,ORB,MAT_BF,SEL_KNN,27,27,23,4.29378,0.16342,0.103671
ORB,ORB,MAT_BF,SEL_KNN,30,30,24,4.43789,0.190299,0.040752
ORB,ORB,MAT_BF,SEL_KNN,34,34,31,4.20143,0.169267,0.053732
ORB,ORB,MAT_BF,SEL_KNN,28,28,20,4.49218,0.211795,0.085247
ORB,ORB,MAT_BF,SEL_KNN,37,37,27,3.8567,0.185882,0.041964
ORB,ORB,MAT_BF,SEL_KNN,30,30,28,3.86967,0.164648,0.03893
ORB,ORB,MAT_BF,SEL_KNN,27,27,25,3.94569,0.16472,0.038124
ORB,ORB,MAT_BF,SEL_KNN,34,34,28,4.04102,0.167891,0.04116
ORB,ORB,MAT_BF,SEL_KNN,31,31,31,3.9182,0.174446,0.036996
