keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
ORB,SIFT,MAT_BF,SEL_KNN,25,0,0,94.7382,13.6082,0
ORB,SIFT,MAT_BF,SEL_KNN,27,27,24,3.77394,10.5429,0.071615
ORB,SIFT,MAT_BF,SEL_KNN,30,30,27,3.88802,11.342,0.039417
ORB,SIFT,MAT_BF,SEL_KNN,34,34,31,3.92504,11.0691,0.039213
ORB,SIFT,MAT_BF,SEL_KNN,28,28,25,3.89591,10.7252,0.034374
ORB,SIFT,MAT_BF,SEL_KNN,37,37,34,3.98824,11.8413,0.045826
ORB,SIFT,MAT_BF,SEL_KNN,30,30,27,4.11829,11.785,0.040176
ORB,SIFT,MAT_BF,SEL_KNN,27,27,25,3.95544,14.7443,0.044722
ORB,SIFT,MAT_BF,SEL_KNN,34,34,32,4.29238,12.3616,0.043929
ORB,SIFT,MAT_BF,SEL_KNN,31,31,29,4.09399,11.6169,0.039302
