keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,43,0,0,9.87597,0.607477,0
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,44,44,44,8.82724,0.217967,0.121033
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,46,46,46,7.99135,0.617531,0.063394
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,46,46,46,9.75794,0.558449,0.073053
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,49,49,49,9.71875,0.632274,0.071719
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,50,50,50,9.90215,0.605549,0.916301
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,49,49,49,9.72643,0.2701,0.888473
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,48,48,48,7.45418,0.210355,0.885162
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,42,42,42,7.39936,0.191404,0.872156
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,41,41,41,7.38606,0.561859,0.04785
