keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
SHITOMASI,BRISK,MAT_BF,SEL_KNN,43,0,0,10.1214,0.906639,0
SHITOMASI,BRISK,MAT_BF,SEL_KNN,44,44,44,8.24938,0.451038,0.144767
SHITOMASI,BRISK,MAT_BF,SEL_KNN,46,46,46,7.4668,0.473791,0.088532
SHITOMASI,BRISK,MAT_BF,SEL_KNN,46,46,46,7.52669,0.826721,0.089191
SHITOMASI,BRISK,MAT_BF,SEL_KNN,49,49,49,8.70942,0.493177,0.091429
SHITOMASI,BRISK,MAT_BF,SEL_KNN,50,50,50,6.41695,0.507217,0.091132
SHITOMASI,BRISK,MAT_BF,SEL_KNN,49,49,49,6.84018,0.502028,0.067768
SHITOMASI,BRISK,MAT_BF,SEL_KNN,48,48,48,6.93881,0.492405,0.078306
SHITOMASI,BRISK,MAT_BF,SEL_KNN,42,42,42,6.55417,0.440528,0.08395
SHITOMASI,BRISK,MAT_BF,SEL_KNN,41,41,41,7.10318,0.445389,0.058143
