keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
SHITOMASI,FREAK,MAT_BF,SEL_KNN,43,0,0,10.6892,25.7748,0
SHITOMASI,FREAK,MAT_BF,SEL_KNN,44,44,44,8.42649,23.5998,0.113335
SHITOMASI,FREAK,MAT_BF,SEL_KNN,46,46,46,7.48624,24.0634,0.066963
SHITOMASI,FREAK,MAT_BF,SEL_KNN,46,46,46,6.78539,23.7918,0.054638
SHITOMASI,FREAK,MAT_BF,SEL_KNN,49,49,49,7.25994,23.8693,0.900301
SHITOMASI,FREAK,MAT_BF,SEL_KNN,50,50,50,8.0535,23.8614,0.919461
SHITOMASI,FREAK,MAT_BF,SEL_KNN,49,49,49,6.59826,23.8582,0.062924
SHITOMASI,FREAK,MAT_BF,SEL_KNN,48,48,48,6.6097,24.0698,0.063377
SHITOMASI,FREAK,MAT_BF,SEL_KNN,42,42,42,6.72053,23.9785,0.06924
SHITOMASI,FREAK,MAT_BF,SEL_KNN,41,41,41,6.44207,23.7575,0.062757
