keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
SHITOMASI,ORB,MAT_BF,SEL_KNN,43,0,0,11.331,0.967424,0
SHITOMASI,ORB,MAT_BF,SEL_KNN,44,44,44,9.50387,0.593867,0.097184
SHITOMASI,ORB,MAT_BF,SEL_KNN,46,46,46,9.31319,0.231531,0.04927
SHITOMASI,ORB,MAT_BF,SEL_KNN,46,46,46,8.71575,0.576093,0.875079
SHITOMASI,ORB,MAT_BF,SEL_KNN,49,49,49,9.63021,0.706789,0.064859
SHITOMASI,ORB,MAT_BF,SEL_KNN,50,50,50,8.66799,0.248318,0.041585
SHITOMASI,ORB,MAT_BF,SEL_KNN,49,49,49,7.34288,0.254202,0.043243
SHITOMASI,ORB,MAT_BF,SEL_KNN,48,48,48,7.73389,0.57682,0.910568
SHITOMASI,ORB,MAT_BF,SEL_KNN,42,42,42,9.10014,0.57747,0.046948
SHITOMASI,ORB,MAT_BF,SEL_KNN,41,41,41,8.91744,0.586767,0.061964
