keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
SHITOMASI,SIFT,MAT_BF,SEL_KNN,43,0,0,10.4099,11.8395,0
SHITOMASI,SIFT,MAT_BF,SEL_KNN,44,44,44,6.42781,6.20485,0.074864
SHITOMASI,SIFT,MAT_BF,SEL_KNN,46,46,46,6.89967,6.40024,0.046851
SHITOMASI,SIFT,MAT_BF,SEL_KNN,46,46,46,6.54023,8.39938,0.051343
SHITOMASI,SIFT,MAT_BF,SEL_KNN,49,49,49,7.31687,7.80372,0.054859
SHITOMASI,SIFT,MAT_BF,SEL_KNN,50,50,50,9.22383,14.6681,0.759658
SHITOMASI,SIFT,MAT_BF,SEL_KNN,49,49,49,8.78292,9.26184,0.913666
SHITOMASI,SIFT,MAT_BF,SEL_KNN,48,48,48,8.07425,6.97724,0.05646
SHITOMASI,SIFT,MAT_BF,SEL_KNN,42,42,42,8.22591,11.7059,0.119664
SHITOMASI,SIFT,MAT_BF,SEL_KNN,41,41,41,7.47167,8.38708,0.896265
