keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
SIFT,BRIEF,MAT_BF,SEL_KNN,39,0,0,55.0627,0.263945,0
SIFT,BRIEF,MAT_BF,SEL_KNN,46,46,28,51.5627,0.254362,0.072714
SIFT,BRIEF,MAT_BF,SEL_KNN,42,42,31,39.2389,0.236642,0.03548
SIFT,BRIEF,MAT_BF,SEL_KNN,50,50,29,40.3931,0.277438,0.057213
SIFT,BRIEF,MAT_BF,SEL_KNN,49,49,32,37.7086,0.242465,0.044983
SIFT,BRIEF,MAT_BF,SEL_KNN,47,47,27,37.4562,0.243992,0.051155
SIFT,BRIEF,MAT_BF,SEL_KNN,49,49,25,40.5244,0.243941,0.041724
SIFT,BRIEF,MAT_BF,SEL_KNN,60,60,28,38.7367,0.257047,0.059311
SIFT,BRIEF,MAT_BF,SEL_KNN,49,49,26,38.4015,0.264717,0.059323
SIFT,BRIEF,MAT_BF,SEL_KNN,48,48,28,38.6761,0.242173,0.039276
