keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
SIFT,BRISK,MAT_BF,SEL_KNN,39,0,0,55.9289,0.455399,0
SIFT,BRISK,MAT_BF,SEL_KNN,46,46,28,49.7945,0.465129,0.119026
SIFT,BRISK,MAT_BF,SEL_KNN,42,42,31,38.4391,0.550247,0.070678
SIFT,BRISK,MAT_BF,SEL_KNN,50,50,29,40.1072,1.03792,0.095886
SIFT,BRISK,MAT_BF,SEL_KNN,49,49,32,52.3935,0.474525,0.080829
SIFT,BRISK,MAT_BF,SEL_KNN,47,47,27,40.1587,1.01924,0.086036
SIFT,BRISK,MAT_BF,SEL_KNN,49,49,25,52.3298,0.5254,0.108763
SIFT,BRISK,MAT_BF,SEL_KNN,60,60,28,40.3968,0.547778,0.099095
SIFT,BRISK,MAT_BF,SEL_KNN,49,49,26,52.047,0.480976,0.106846
SIFT,BRISK,MAT_BF,SEL_KNN,48,48,28,38.1811,0.502905,0.089513
