keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
SIFT,FREAK,MAT_BF,SEL_KNN,39,0,0,54.7561,25.2173,0
SIFT,FREAK,MAT_BF,SEL_KNN,46,45,27,52.8263,25.1708,0.141081
SIFT,FREAK,MAT_BF,SEL_KNN,42,41,30,52.4036,23.8913,0.087633
SIFT,FREAK,MAT_BF,SEL_KNN,50,50,29,39.415,24.0286,0.071297
SIFT,FREAK,MAT_BF,SEL_KNN,49,49,32,40.7568,23.8411,0.070361
SIFT,FREAK,MAT_BF,SEL_KNN,47,47,27,38.5347,23.5964,0.0932
SIFT,FREAK,MAT_BF,SEL_KNN,49,49,25,39.69,24.3681,0.08972
SIFT,FREAK,MAT_BF,SEL_KNN,60,60,28,36.2976,23.8559,0.086383
SIFT,FREAK,MAT_BF,SEL_KNN,49,49,26,37.7776,23.8444,0.07819
SIFT,FREAK,MAT_BF,SEL_KNN,48,48,28,38.3724,23.8328,0.074798
