keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
SIFT,ORB,MAT_BF,SEL_KNN,39,0,0,57.3948,0.275168,0
SIFT,ORB,MAT_BF,SEL_KNN,46,46,28,52.1628,0.246396,0.076311
SIFT,ORB,MAT_BF,SEL_KNN,42,42,31,40.4081,0.248057,0.039194
SIFT,ORB,MAT_BF,SEL_KNN,50,50,29,38.6168,0.256762,0.038375
SIFT,ORB,MAT_BF,SEL_KNN,49,49,32,37.786,0.250919,0.038501
SIFT,ORB,MAT_BF,SEL_KNN,47,47,27,38.4359,0.230328,0.036816
SIFT,ORB,MAT_BF,SEL_KNN,49,49,25,40.8085,0.288869,0.055003
SIFT,ORB,MAT_BF,SEL_KNN,60,60,28,57.9635,0.271296,0.060458
SIFT,ORB,MAT_BF,SEL_KNN,49,49,26,40.0351,0.243603,0.038577
SIFT,ORB,MAT_BF,SEL_KNN,48,48,28,37.6433,0.244585,0.039187
