keypoint_type,descriptor_type,match_algorithm,selection_algorithm, num_keypoints,num_matches_raw,num_matches_final,elapsed_detect,elapsed_desc_calc,elapsed_match
SIFT,SIFT,MAT_BF,SEL_KNN,39,0,0,56.226,45.9378,0
SIFT,SIFT,MAT_BF,SEL_KNN,46,46,46,36.8811,33.1284,0.090741
SIFT,SIFT,MAT_BF,SEL_KNN,42,42,42,37.759,32.1932,0.041899
SIFT,SIFT,MAT_BF,SEL_KNN,50,50,50,37.6938,35.5396,0.062502
SIFT,SIFT,MAT_BF,SEL_KNN,49,49,49,44.5724,38.5204,0.059776
SIFT,SIFT,MAT_BF,SEL_KNN,47,47,47,43.3846,37.7853,0.057967
SIFT,SIFT,MAT_BF,SEL_KNN,49,49,49,55.6062,37.1901,0.055446
SIFT,SIFT,MAT_BF,SEL_KNN,60,60,60,42.7455,43.9378,0.09444
SIFT,SIFT,MAT_BF,SEL_KNN,49,49,49,55.9261,38.1373,0.058721
SIFT,SIFT,MAT_BF,SEL_KNN,48,48,48,63.3156,46.889,0.93435
